,violent,crime_type,unique_id,gender,age,race,marital_stat,is_military,year_arrested,year_admitted,ntimes_arrested,age_arrest_first,violent_first,probation_yn,ntimes_incarc_adult,ntimes_incarc_juv,highest_grade_attend,has_GED,has_HSD,had_job,public_assist_prior,monthly_income_prior,family_makeup,child_caretaker_welfare,child_caretaker_substabuse,parents_servetime,family_servetime,commit_crime_juv,age_crime_first,forcible_sex,phys_abuse,age_drink_first,drink_frequency,used_heroin,used_meth,used_barbiturates,used_crack,used_cocaine,used_pcp,used_ecstacy,used_lsd,used_pot
2,0,3,3,male,33,black,never_marr,0,2003,2003,11.0,20.0,0,1,4.0,0.0,12.0,0,1,1,0,6250.0,mother,0,0,0,0,1,19.0,0,0,29.0,6,0,0,0,0,0,0,0,0,0
4,0,2,5,male,25,white,never_marr,0,1997,1998,1.0,15.0,0,0,2.0,0.0,10.0,1,0,1,1,1100.0,father,1,1,1,1,1,11.0,0,0,14.0,9,0,0,0,0,0,0,0,0,1
5,0,3,6,male,38,black,never_marr,0,2002,2003,10.0,14.0,0,1,2.0,0.0,12.0,0,1,1,0,3750.0,both,1,0,0,1,1,12.0,0,0,12.0,0,1,0,0,1,1,1,0,1,1
6,0,5,7,male,29,white,never_marr,0,2001,2002,1.0,16.0,0,1,2.0,0.0,12.0,0,1,1,0,1350.0,both,1,0,0,1,1,15.0,0,0,18.0,0,1,0,0,1,1,0,0,0,1
7,1,1,8,male,30,black,separated,1,2002,2002,0.0,18.9689288635,0,0,2.0,0.0,16.0,0,1,1,0,1350.0,mother,1,0,0,1,1,18.0,0,0,22.0,9,0,0,0,0,0,0,0,1,1
12,1,1,13,male,37,white,married,0,2001,2001,15.0,20.0,0,1,15.0,0.0,10.0,1,0,1,0,2250.0,mother,1,1,0,0,1,16.0,0,0,14.0,9,1,0,0,1,1,0,0,0,1
13,1,1,14,male,22,white,never_marr,0,1998,1999,3.0,14.0,0,1,2.0,0.0,12.0,1,0,1,0,300.0,both,0,0,0,1,1,14.0,0,0,14.0,9,0,0,0,0,1,0,0,1,1
15,0,2,16,male,35,other,never_marr,0,1998,2002,0.0,18.9689288635,0,0,2.0,0.0,9.0,0,0,1,1,1750.0,both,0,0,0,0,0,13.8279620853,0,0,18.0,0,0,0,0,0,0,0,0,0,1
16,0,2,17,male,32,white,never_marr,0,2002,2002,8.0,23.0,0,1,2.0,0.0,11.0,0,0,1,0,0.0,mother,0,1,0,0,0,13.8279620853,0,0,18.0,10,1,0,0,0,1,0,0,0,1
19,1,1,20,male,30,white,never_marr,0,2001,2002,10.0,14.0,0,1,2.0,0.0,12.0,0,1,1,1,1350.0,both,1,0,0,0,1,13.0,0,0,14.0,8,0,0,0,0,0,0,0,1,1
20,1,1,21,male,50,white,divorced,1,1994,1997,0.0,18.9689288635,0,0,2.0,0.0,16.0,0,1,1,0,6250.0,both,0,0,0,0,1,16.0,0,0,17.0,8,0,0,0,0,0,0,0,0,1
21,0,3,22,male,42,black,never_marr,0,2001,2001,2.0,18.0,0,0,1.0,0.0,11.0,1,0,0,0,0.0,both,1,1,0,0,1,17.0,0,0,15.9622498484,0,1,0,0,1,1,0,0,0,1
23,1,1,24,male,42,white,divorced,0,2002,2003,0.0,18.9689288635,0,0,2.0,0.0,18.0,0,1,1,0,3750.0,mother,0,0,0,0,0,13.8279620853,0,0,17.0,7,0,0,0,0,0,0,0,0,0
25,0,3,26,male,20,other,never_marr,0,2002,2002,0.0,18.9689288635,0,0,2.0,0.0,12.0,0,1,1,0,6250.0,both,0,0,1,0,0,13.8279620853,1,0,15.9622498484,0,0,0,0,0,0,0,0,0,1
